Date,Open,High,Low,Close,Adj Close,Volume,Log_Return,Diff_Log_Return
3/5/07,1387.1099853515625,1391.8599853515625,1373.969970703125,1374.1199951171875,1374.1199951171875,3480520000,-0.00945221,0.002016052
3/6/07,1374.060059,1397.9000244140625,1374.060059,1395.4100341796875,1395.4100341796875,3358160000,0.015374780717887226,0.02482699
3/7/07,1395.02002,1401.1600341796875,1390.6400146484375,1391.969970703125,1391.969970703125,3141350000,-0.002468314,-0.017843095
3/8/07,1391.8800048828125,1407.9300537109375,1391.8800048828125,1401.8900146484375,1401.8900146484375,3014850000,0.007101348,0.009569662
3/9/07,1401.8900146484375,1410.1500244140625,1397.300048828125,1402.8399658203125,1402.8399658203125,2623050000,0.000677392,-0.006423955
3/12/07,1402.800048828125,1409.3399658203125,1398.4000244140625,1406.5999755859375,1406.5999755859375,2664000000,0.002676699,0.001999306
3/13/07,1406.22998,1406.22998,1377.709961,1377.949951171875,1377.949951171875,3485570000,-0.020578576,-0.023255274
3/14/07,1377.8599853515625,1388.0899658203125,1363.97998,1387.1700439453125,1387.1700439453125,3758350000,0.00666888,0.027247456
3/15/07,1387.1099853515625,1395.72998,1385.1600341796875,1392.280029296875,1392.280029296875,2821900000,0.00367698,-0.0029919
3/16/07,1392.280029296875,1397.510009765625,1383.6300048828125,1386.949951171875,1386.949951171875,3393640000,-0.003835656,-0.007512636
3/19/07,1386.949951171875,1403.199951171875,1386.949951171875,1402.060059,1402.060059,2777180000,0.010835569042727755,0.014671224743943334
3/20/07,1402.040039,1411.530029296875,1400.699951171875,1410.939941,1410.939941,2795940000,0.006313482,-0.004522087
3/21/07,1410.9200439453125,1437.77002,1409.75,1435.040039,1435.040039,3184770000,0.016936643,0.010623161291476002
3/22/07,1435.040039,1437.6600341796875,1429.8800048828125,1434.540039,1434.540039,3129970000,-0.000348483,-0.017285126
3/23/07,1434.540039,1438.8900146484375,1433.209961,1436.1099853515625,1436.1099853515625,2619020000,0.001093792,0.001442275
3/26/07,1436.1099853515625,1437.6500244140625,1423.280029296875,1437.5,1437.5,2754660000,0.000967435,-0.000126357
3/27/07,1437.489990234375,1437.489990234375,1425.540039,1428.6099853515625,1428.6099853515625,2673040000,-0.00620356,-0.007170995
3/28/07,1428.3499755859375,1428.3499755859375,1414.0699462890625,1417.22998,1417.22998,3000440000,-0.007997685,-0.001794124
3/29/07,1417.1700439453125,1426.239990234375,1413.27002,1422.530029296875,1422.530029296875,2854710000,0.003732749,0.011730433332183487
3/30/07,1422.52002,1429.219970703125,1408.9000244140625,1420.8599853515625,1420.8599853515625,2903960000,-0.001174685,-0.004907434
4/2/07,1420.8299560546875,1425.489990234375,1416.3699951171875,1424.550048828125,1424.550048828125,2875880000,0.002593697,0.003768382
